Nombre,Referencia,Unidad de medida,Precio unidad,Cantidad disponible,Cantidad de alarma
LIJA 80,LJ P80,unit,2200,30,10
LIJA 150,LJ P150,unit,2200,10,3
LIJA 220,LJ P220,unit,2200,3,1
LIJA 320,LJ P320,unit,2200,3,1
LIJA 400,LJ P400,unit,2200,3,1
LIJA 600,LJ P600,unit,2200,3,1
LIJA 800,LJ P800,unit,2200,3,1
LIJA 1200,LJ 1200,unit,2200,3,1
LIJA 1500,LJ 1500,unit,4500,3,1
LIJA 2000,LJ 2000,unit,4500,3,1
LIJA 3000,LJ 3000,unit,4500,3,1
DISCO 80,DS 80,unit,4500,3,1
DISCO 150,DS 150,unit,4500,3,1
DISCO 320,DS 320,unit,4500,3,1
DISCO 400,DS 400,unit,4500,3,1
DISCO 600,DS 600,unit,4500,3,1
DISCO 800,DS 800,unit,4500,3,1
DISCO TRIZACT 2000,DS 2000,unit,24000,3,1
DISCO TRIZACT 3000,DS 3000,unit,24000,3,1
MASILLA 8305 CARALZ,MS 8305,gram,34.31,3,1
MASILLA M3500 SHERWIN WILIAM'S,MS M3500,gram,45.34,0,
MASILLA M500 PLASTICOS SHERWIN WILLIAM'S,MS M500,gram,82.93838863,,
MASILLA M510 ALUMINIO SHERWIN WILLIAM'S,MS METALICAS,gram,71.09004739,430,
MASILLA POLIFIBRA POLIESCOL,MS PLASTICOS,gram,48,,
MASILLA PUTTY LAZZUDUR SHERWIN WIILIAM'S,MS LAZZU,gram,120,,
MASILLA PUTTY PPG A242,MS DELTRON,gram,260,,
BASE BLANCA 2K CARALZ,BS BCA,galon,220000,,
BASE GRIS 2K CARALZ,BS GRIS,galon,220000,,
BASE NEGRA 2K CARALZ,BS NGR,galon,220000,0.25,0.25
CINTA 3/4 VERDE WURTH,CT VERDE,unit,7283,,
CINTA 3/4 AMARILLA 3M,CT 3M,unit,9000,0,
PLASTICO 3M,ENM 06723,unit,1583,0,
PLASTICO WuRTH,ENM 6410,unit,1267,,
COLOR,COLOR,galon,1,0,0
BARNIZ BASLAC 4022,BR 4022,gram,133,0,1440
BARNIZ SHERWIN WILLIAM'S 8937,BR8937,gram,,0,
DISOLVENTE ACABADOS CARALZ,TH R860,litre,24000,0,1
THINNER LAVADO EQUIPOS,TH CTE,galon,30000,1,2
THINNER LAVADO EQUIPOS,TH H2O,galon,21850,0,2
PAÑO GOMOSO SHERWIN WILLIAM'S 31063,TAC RAG,unit,8000,2,2
COLADOR WURTH,CL 125MC,unit,1983,0,50
PASTA BLANCA 3M 92921,PUL #1,gram,60,500,125000
PULIDOR 3M PASO 1,P1 6085,gram,163,0,
PULIDOR 3M PASO 2,P2 6094,gram,165,0,
PULIDOR 3M PASO 3,P3 6068,gram,167,0,
"PAÑO MICROFIBRA 40,6 CMS X 40 ,6 CMS",MCR 77990,unit,2136,180,36
CERAMICA GLASKLARE 30 ML,10H NANO,unit,60000,0.6,1
HEMPADUR MASTIC NEGRO,45880,unit,65000,12,6
DISOLVENTE PROTECCION DE BAJOS,AJUSTADOR H2O,litre,42000,5,
ENVASE PLASTICO 1/4,1/4 TARRO,unit,1500,0,
ENVASE PLASTICO 1/8,1/8 TARRO,unit,1000,0,
WHYPES,WHYPES,kilo,5000,3,5
POLIAMIDA,ANTICORROSION,galon,220000,0.25,
SPRAY NEGRO ANTICORROSION,SP NEGRO,unit,12000,0,1
SPRAY BLANCO ANTICORROSION,SP BLANCO,unit,12000,1,2
SPRAY PLATA ANTICORROSION,SP PLATA,unit,12000,0,1
DISCOS DE CORTE,DS CORTE,unit,2756,10,5
DISCOS FLAP,DS FLAP,unit,5000,3,2
DISCOS DE ESMERIL,DS ESME,unit,6000,4,2
GRATA COPA,GRATA,unit,25900,,
DISCO CARBOFLAX QUITA PINTURA,DS CARB,unit,40900,,
GRAPAS SOLDAR PLASTICOS,GRAPAS,gram,,,
SELLANTE CARROCERIA TUBO,TEROSON,unit,30000,,
SELLANTE CARROCERIA TARRO 1/4,SLL P25,unit,24000,,
ANTIGRAVILLANTE P7,SLL P25,unit,13000,,
INSONORIZANTE PISO,SLL PISO,unit,,,
REMACHES,REMA,gram,,,
REMACHES ESPECIALES,REMA SP,gram,,,
WUTH WONDER 2 GR,GOTA,unit,3000,,
CINTA DOBLE FAZ 3M Vhb 4910 19mmx5m,4910,unit,9000,0,
LAMINA C-14,LM C14,unit,,,
LAMINA C-16,LM C16,unit,,,
LAMINA C-18,LM C18,unit,,,
LAMINA C-20,LM C20,Unidad,,,
DOBLECES,DOBLEZ,Unidad,1,,
ALAMBRE DE SOLDAR,Alambre Soldar,Kilo,,,
ELECTRODO 6013,"ELEC 3/32""",Kilo,21900,,
ELECTRODO,"ELEC 1/8""",Kilo,20000,,
MEZCLA DE GAS,MEZCLA DE GAS,Unidad,,,
OXIGENO,OXIGENO,,,,
ACETILENO,ACETILENO,,,,